Date,Open,High,Low,Close,Adj Close,Volume
2016-09-06,8946.629883,9037.799805,8913.580078,9037.799805,9037.799805,0
2016-09-08,9037.750000,9088.179688,8998.000000,9083.530273,9083.530273,0
2016-09-09,9083.389648,9083.389648,8801.049805,8814.410156,8814.410156,0
2016-09-12,8813.870117,8865.889648,8727.290039,8861.849609,8861.849609,0
2016-09-13,8859.709961,8859.709961,8612.290039,8684.440430,8684.440430,0
2016-09-14,8685.250000,8701.919922,8634.169922,8684.299805,8684.299805,0
2016-09-15,8687.339844,8787.799805,8687.339844,8764.320313,8764.320313,0
2016-09-16,8764.299805,8764.299805,8606.959961,8675.179688,8675.179688,0
2016-09-19,8675.559570,8790.620117,8675.559570,8711.200195,8711.200195,0
2016-09-20,8713.000000,8762.480469,8707.690430,8740.849609,8740.849609,0
2016-09-21,8740.849609,8826.269531,8675.730469,8803.339844,8803.339844,0
2016-09-22,8803.570313,8954.230469,8803.570313,8866.230469,8866.230469,0
2016-09-23,8866.980469,8911.500000,8817.709961,8844.629883,8844.629883,0
2016-09-26,8844.919922,8844.919922,8728.299805,8762.129883,8762.129883,0
2016-09-27,8761.740234,8809.469727,8698.459961,8794.120117,8794.120117,0
2016-09-28,8794.209961,8943.089844,8794.209961,8922.290039,8922.290039,0
2016-09-29,8922.650391,8967.200195,8783.530273,8797.080078,8797.080078,0
2016-09-30,8796.879883,8849.080078,8773.959961,8781.940430,8781.940430,0
2016-10-03,8781.940430,8950.120117,8781.660156,8924.620117,8924.620117,0
2016-10-04,8924.620117,8941.860352,8797.120117,8887.849609,8887.849609,0
2016-10-05,8888.129883,9045.900391,8888.129883,9022.190430,9022.190430,0
2016-10-06,9022.070313,9042.620117,8973.610352,9032.950195,9032.950195,0
2016-10-07,9033.349609,9070.480469,8976.620117,9055.230469,9055.230469,0
2016-10-10,9055.879883,9117.309570,9055.879883,9105.780273,9105.780273,0
2016-10-11,9105.780273,9105.780273,9013.309570,9040.839844,9040.839844,0
2016-10-13,9040.339844,9064.959961,8958.669922,9037.309570,9037.309570,0
2016-10-14,9037.959961,9153.540039,9037.959961,9083.129883,9083.129883,0
2016-10-17,9083.259766,9163.610352,9083.259766,9159.530273,9159.530273,0
2016-10-18,9159.530273,9307.809570,9159.530273,9292.519531,9292.519531,0
2016-10-19,9293.019531,9324.940430,9207.839844,9234.120117,9234.120117,0
2016-10-20,9232.769531,9268.589844,9102.620117,9233.750000,9233.750000,0
2016-10-21,9233.559570,9290.219727,9163.030273,9259.889648,9259.889648,0
2016-10-24,9266.780273,9317.280273,9232.339844,9239.160156,9239.160156,0
2016-10-25,9238.700195,9245.169922,9138.230469,9207.580078,9207.580078,0
2016-10-26,9205.429688,9205.429688,9039.009766,9128.889648,9128.889648,0
2016-10-27,9129.959961,9216.780273,9124.070313,9127.809570,9127.809570,0
2016-10-28,9128.190430,9240.870117,9105.870117,9178.419922,9178.419922,0
2016-10-31,9180.660156,9257.830078,9159.610352,9247.580078,9247.580078,0
2016-11-01,9246.679688,9302.969727,9017.610352,9031.620117,9031.620117,0
2016-11-03,9031.019531,9031.019531,8819.959961,8819.959961,8819.959961,0
2016-11-04,8819.639648,8940.000000,8770.269531,8773.969727,8773.969727,0
2016-11-07,8774.780273,9064.160156,8774.780273,9042.700195,9042.700195,0
2016-11-08,9042.700195,9109.190430,8974.860352,9051.690430,9051.690430,0
2016-11-09,9051.250000,9051.250000,8751.019531,8941.120117,8941.120117,0
2016-11-10,8941.969727,8999.959961,8586.080078,8662.009766,8662.009766,0
2016-11-11,8662.009766,8705.240234,8345.690430,8414.480469,8414.480469,0
2016-11-14,8414.339844,8545.080078,8338.910156,8525.089844,8525.089844,0
2016-11-16,8525.450195,8661.929688,8493.750000,8657.599609,8657.599609,0
2016-11-17,8658.839844,8742.459961,8575.929688,8606.419922,8606.419922,0
2016-11-18,8606.370117,8659.799805,8566.589844,8622.910156,8622.910156,0
2016-11-21,8623.240234,8730.919922,8623.240234,8681.759766,8681.759766,0
2016-11-22,8682.389648,8870.730469,8682.389648,8778.950195,8778.950195,0
2016-11-23,8777.379883,8777.379883,8669.360352,8754.830078,8754.830078,0
2016-11-24,8754.980469,8783.469727,8712.580078,8734.450195,8734.450195,0
2016-11-25,8733.870117,8759.379883,8628.269531,8744.769531,8744.769531,0
2016-11-28,8744.719727,8905.860352,8687.429688,8892.110352,8892.110352,0
2016-11-29,8889.299805,8889.299805,8689.000000,8689.000000,8689.000000,0
2016-11-30,8688.910156,8804.019531,8668.580078,8718.980469,8718.980469,0
2016-12-01,8718.139648,8719.000000,8311.879883,8372.330078,8372.330078,0
2016-12-02,8369.679688,8441.690430,8187.220215,8432.320313,8432.320313,0
2016-12-05,8434.480469,8495.849609,8357.700195,8371.360352,8371.360352,0
2016-12-06,8370.230469,8568.389648,8310.440430,8567.419922,8567.419922,0
2016-12-07,8568.339844,8691.360352,8568.339844,8652.000000,8652.000000,0
2016-12-08,8651.530273,8723.690430,8501.870117,8548.599609,8548.599609,0
2016-12-09,8549.860352,8594.719727,8457.769531,8500.110352,8500.110352,0
2016-12-12,8498.410156,8498.410156,8330.910156,8355.469727,8355.469727,0
2016-12-13,8355.610352,8470.639648,8289.429688,8458.740234,8458.740234,0
2016-12-14,8458.589844,8466.730469,8305.759766,8305.759766,8305.759766,0
2016-12-15,8305.679688,8346.530273,8221.559570,8337.129883,8337.129883,0
2016-12-16,8337.639648,8474.040039,8337.639648,8349.169922,8349.169922,0
2016-12-19,8349.540039,8375.589844,8258.299805,8260.660156,8260.660156,0
